model,prompt,accuracy,precision,recall,f1,n_samples
qwen,cot_v3,0.9023569023569024,0.8926553672316384,0.9404761904761905,0.9159420289855073,297
qwen,compressed,0.8686868686868687,0.9574468085106383,0.8035714285714286,0.8737864077669902,297
qwen,no_examples,0.8754208754208754,0.9337748344370861,0.8392857142857143,0.8840125391849529,297
qwen,lenient,0.8759124087591241,0.9172932330827067,0.8413793103448276,0.8776978417266187,274
llama,cot_v3,0.8922558922558923,0.8777777777777778,0.9404761904761905,0.9080459770114943,297
llama,compressed,0.8666666666666667,0.8448275862068966,0.765625,0.8032786885245902,180
llama,no_examples,0.7813765182186235,0.922077922077922,0.5966386554621849,0.7244897959183674,247
llama,lenient,0.831081081081081,0.9333333333333333,0.7544910179640718,0.8344370860927153,296
deepseek,cot_v3,0.8249158249158249,0.8625,0.8214285714285714,0.8414634146341463,297
deepseek,compressed,0.8787878787878788,0.888235294117647,0.8988095238095238,0.893491124260355,297
deepseek,no_examples,0.8316498316498316,0.8881578947368421,0.8035714285714286,0.84375,297
deepseek,lenient,0.864406779661017,0.875,0.8855421686746988,0.8802395209580839,295
