metric,model,dataset,delta,ci_lo,ci_hi
WER,Whisper,ATCO2,23.9,18.9,28.7
WER,Whisper,ATCC,34.5,31.6,37.7
WER,Whisper,ATCOSim,52.6,46.3,58.2
WER,Parakeet,ATCO2,14.2,10.3,18.3
WER,Parakeet,ATCC,22.7,20.8,24.6
WER,Parakeet,ATCOSim,31.9,28.3,36.3
WeightedWER,Whisper,ATCO2,27.3,22.8,32.1
WeightedWER,Whisper,ATCC,38.0,34.9,40.7
WeightedWER,Whisper,ATCOSim,49.5,43.1,55.2
WeightedWER,Parakeet,ATCO2,15.2,11.5,19.2
WeightedWER,Parakeet,ATCC,20.4,18.5,22.2
WeightedWER,Parakeet,ATCOSim,33.9,29.8,38.0
BERTDist,Whisper,ATCO2,19.7,15.1,24.3
BERTDist,Whisper,ATCC,40.0,37.2,43.0
BERTDist,Whisper,ATCOSim,51.4,45.4,57.4
BERTDist,Parakeet,ATCO2,8.2,4.6,11.9
BERTDist,Parakeet,ATCC,17.1,15.4,18.9
BERTDist,Parakeet,ATCOSim,30.9,26.5,35.4
SemDist,Whisper,ATCO2,19.1,14.0,23.8
SemDist,Whisper,ATCC,38.2,35.1,41.2
SemDist,Whisper,ATCOSim,45.1,39.2,51.4
SemDist,Parakeet,ATCO2,13.3,9.6,17.1
SemDist,Parakeet,ATCC,23.1,21.2,25.1
SemDist,Parakeet,ATCOSim,35.6,31.4,39.6
